x,y,z
-0.68,-0.24,0.25
-0.68,-0.235,0.25
-0.68,-0.22,0.25
-0.675,-0.19,0.25
-0.675,-0.155,0.255
-0.67,-0.105,0.255
-0.665,-0.05,0.26
-0.66,0.005,0.265
-0.655,0.06,0.265
-0.645,0.115,0.27
-0.64,0.17,0.275
-0.63,0.225,0.28
-0.62,0.285,0.28
-0.61,0.345,0.285
-0.6,0.405,0.285
-0.59,0.455,0.29
-0.58,0.51,0.29
-0.57,0.565,0.29
-0.555,0.62,0.285
-0.545,0.67,0.285
-0.53,0.725,0.285
-0.52,0.77,0.28
-0.51,0.825,0.28
-0.495,0.88,0.275
-0.485,0.93,0.27
-0.475,0.985,0.27
-0.465,1.04,0.27
-0.455,1.095,0.265
-0.45,1.15,0.265
-0.445,1.2,0.265
-0.44,1.255,0.265
-0.435,1.31,0.265
-0.435,1.36,0.265
-0.435,1.42,0.265
-0.435,1.47,0.27
-0.44,1.53,0.27
-0.445,1.58,0.275
-0.45,1.635,0.275
-0.46,1.69,0.28
-0.47,1.745,0.285
-0.485,1.8,0.285
-0.5,1.855,0.29
-0.515,1.91,0.295
-0.53,1.96,0.295
-0.55,2.015,0.3
-0.565,2.065,0.3
-0.585,2.12,0.305
-0.61,2.175,0.305
-0.625,2.225,0.31
-0.645,2.275,0.31
-0.665,2.32,0.315
-0.68,2.375,0.315
-0.7,2.43,0.32
-0.71,2.48,0.32
-0.725,2.535,0.325
-0.74,2.59,0.325
-0.75,2.64,0.33
-0.76,2.69,0.33
-0.765,2.745,0.335
-0.775,2.795,0.335
-0.78,2.845,0.34
-0.785,2.9,0.345
-0.79,2.955,0.345
-0.795,3.01,0.35
-0.795,3.065,0.35
-0.8,3.12,0.355
-0.8,3.175,0.36
-0.8,3.225,0.36
-0.8,3.28,0.365
-0.805,3.335,0.365
-0.805,3.39,0.37
-0.805,3.44,0.37
-0.8,3.495,0.375
-0.8,3.55,0.38
-0.8,3.6,0.38
-0.8,3.65,0.385
-0.8,3.705,0.385
-0.795,3.755,0.39
-0.795,3.815,0.39
-0.795,3.865,0.395
-0.79,3.92,0.4
-0.79,3.97,0.4
-0.79,4.02,0.405
-0.785,4.075,0.405
-0.785,4.13,0.41
-0.78,4.185,0.41
-0.78,4.24,0.415
-0.78,4.29,0.42
-0.775,4.345,0.42
-0.775,4.4,0.425
-0.77,4.45,0.425
-0.77,4.505,0.43
