x,y,z
-1.45,0.21,0.25
-1.45,0.215,0.25
-1.445,0.215,0.25
-1.445,0.22,0.25
-1.44,0.22,0.25
-1.44,0.225,0.255
-1.435,0.23,0.255
-1.43,0.23,0.255
-1.425,0.23,0.255
-1.415,0.23,0.255
-1.41,0.235,0.26
-1.4,0.23,0.26
-1.39,0.23,0.26
-1.38,0.23,0.26
-1.37,0.225,0.265
-1.36,0.22,0.265
-1.345,0.215,0.27
-1.335,0.21,0.27
-1.32,0.205,0.27
-1.305,0.195,0.275
-1.29,0.19,0.275
-1.28,0.18,0.275
-1.265,0.17,0.28
-1.245,0.155,0.28
-1.23,0.145,0.285
-1.215,0.135,0.285
-1.2,0.125,0.285
-1.185,0.11,0.29
-1.17,0.1,0.29
-1.155,0.09,0.295
-1.14,0.075,0.295
-1.13,0.065,0.295
-1.115,0.055,0.3
-1.1,0.045,0.3
-1.085,0.035,0.3
-1.07,0.03,0.305
-1.06,0.02,0.305
-1.05,0.015,0.305
-1.035,0.015,0.31
-1.025,0.01,0.31
-1.015,0.01,0.31
-1.005,0.015,0.315
-0.99,0.02,0.315
-0.98,0.025,0.315
-0.97,0.035,0.32
-0.96,0.045,0.32
-0.95,0.06,0.32
-0.94,0.075,0.325
-0.93,0.095,0.325
-0.925,0.115,0.325
-0.915,0.14,0.33
-0.91,0.165,0.33
-0.9,0.195,0.335
-0.895,0.225,0.335
-0.89,0.255,0.335
-0.89,0.285,0.34
-0.885,0.32,0.34
-0.885,0.36,0.345
-0.885,0.395,0.345
-0.895,0.435,0.345
-0.9,0.475,0.35
-0.915,0.515,0.35
-0.93,0.555,0.35
-0.95,0.6,0.35
-0.97,0.645,0.355
-0.995,0.69,0.355
-1.02,0.735,0.355
-1.045,0.785,0.355
-1.075,0.835,0.36
-1.1,0.885,0.36
-1.125,0.935,0.365
-1.145,0.985,0.365
-1.165,1.04,0.37
-1.18,1.09,0.375
-1.195,1.145,0.38
-1.205,1.19,0.38
-1.21,1.245,0.385
-1.215,1.3,0.39
-1.21,1.36,0.395
-1.21,1.41,0.4
-1.2,1.46,0.4
-1.19,1.515,0.405
-1.175,1.565,0.41
-1.16,1.615,0.41
-1.145,1.665,0.415
-1.13,1.715,0.415
-1.11,1.76,0.42
-1.09,1.815,0.42
-1.07,1.86,0.42
-1.05,1.905,0.425
-1.025,1.96,0.425
-1.005,2.005,0.43
-0.985,2.05,0.43
-0.965,2.1,0.435
-0.945,2.15,0.435
-0.93,2.195,0.44
-0.915,2.24,0.44
-0.9,2.295,0.445
-0.89,2.34,0.45
-0.88,2.39,0.45
-0.87,2.44,0.455
-0.86,2.49,0.455
-0.855,2.545,0.46
-0.85,2.595,0.46
-0.845,2.645,0.465
-0.845,2.7,0.47
-0.84,2.755,0.47
-0.84,2.805,0.475
-0.84,2.86,0.475
-0.835,2.915,0.48
-0.835,2.96,0.48
-0.835,3.01,0.485
-0.835,3.065,0.485
-0.835,3.115,0.49
-0.835,3.16,0.49
-0.835,3.21,0.495
-0.835,3.255,0.495
-0.84,3.305,0.495
-0.84,3.345,0.5
-0.845,3.395,0.5
-0.845,3.44,0.5
-0.85,3.485,0.5
-0.85,3.525,0.505
-0.85,3.57,0.505
-0.85,3.61,0.505
-0.85,3.65,0.505
-0.845,3.69,0.505
-0.84,3.725,0.505
-0.835,3.76,0.505
-0.83,3.8,0.505
-0.82,3.835,0.505
-0.81,3.865,0.505
-0.795,3.895,0.505
-0.78,3.925,0.505
-0.765,3.955,0.505
-0.745,3.98,0.505
-0.725,4.005,0.505
-0.7,4.025,0.5
-0.675,4.045,0.5
-0.65,4.06,0.5
-0.625,4.075,0.5
-0.59,4.085,0.5
-0.56,4.095,0.5
-0.525,4.105,0.5
-0.49,4.11,0.5
-0.455,4.11,0.5
-0.415,4.11,0.5
-0.375,4.105,0.5
-0.33,4.1,0.5
-0.29,4.095,0.5
-0.245,4.085,0.5
-0.2,4.075,0.5
-0.155,4.06,0.5
-0.105,4.045,0.5
-0.06,4.03,0.5
-0.01,4.015,0.5
0.03,4.0,0.5
0.075,3.985,0.5
0.12,3.965,0.5
0.155,3.95,0.5
0.19,3.94,0.5
0.22,3.925,0.5
0.245,3.915,0.5
0.27,3.9,0.5
0.29,3.89,0.5
0.305,3.875,0.5
0.315,3.865,0.5
0.325,3.845,0.5
0.33,3.825,0.5
0.33,3.8,0.5
0.33,3.775,0.5
0.33,3.74,0.5
0.325,3.7,0.5
0.325,3.66,0.5
0.315,3.61,0.5
0.31,3.56,0.5
0.305,3.505,0.5
0.3,3.445,0.5
0.29,3.39,0.5
0.285,3.34,0.5
0.275,3.285,0.5
0.27,3.235,0.5
0.265,3.185,0.5
0.255,3.135,0.5
0.25,3.09,0.5
0.245,3.045,0.5
0.24,3.005,0.5
0.235,2.965,0.5
0.225,2.93,0.5
0.22,2.895,0.5
0.215,2.865,0.5
0.21,2.835,0.5
0.205,2.805,0.5
0.2,2.78,0.5
0.195,2.755,0.5
0.19,2.735,0.5
0.19,2.715,0.5
0.185,2.695,0.5
0.18,2.68,0.5
0.175,2.66,0.5
0.17,2.645,0.5
0.165,2.63,0.5
0.16,2.615,0.5
0.155,2.6,0.5
0.15,2.585,0.5
0.145,2.575,0.5
0.14,2.56,0.5
0.135,2.54,0.5
0.13,2.525,0.5
0.125,2.51,0.5
0.12,2.49,0.5
0.11,2.47,0.5
0.105,2.455,0.5
0.095,2.435,0.5
0.09,2.415,0.5
0.08,2.39,0.5
0.075,2.37,0.5
0.065,2.35,0.5
0.06,2.325,0.5
0.05,2.305,0.5
0.04,2.285,0.5
0.035,2.26,0.5
0.025,2.24,0.5
0.015,2.215,0.5
0.01,2.19,0.5
0.0,2.165,0.5
-0.01,2.14,0.5
-0.015,2.115,0.5
-0.025,2.09,0.5
-0.035,2.065,0.5
-0.045,2.04,0.5
-0.055,2.01,0.5
-0.065,1.98,0.5
-0.075,1.955,0.5
-0.085,1.93,0.5
-0.095,1.9,0.5
-0.105,1.87,0.5
-0.115,1.84,0.5
-0.125,1.805,0.5
-0.135,1.775,0.5
-0.15,1.745,0.5
-0.16,1.705,0.5
-0.17,1.675,0.5
-0.185,1.64,0.5
-0.195,1.6,0.5
-0.21,1.565,0.5
-0.225,1.525,0.5
-0.235,1.485,0.5
-0.25,1.44,0.5
-0.27,1.395,0.5
-0.28,1.355,0.5
-0.295,1.315,0.5
-0.315,1.27,0.5
-0.33,1.225,0.5
-0.345,1.18,0.5
-0.36,1.14,0.5
-0.375,1.095,0.5
-0.39,1.045,0.5
-0.405,1.005,0.5
-0.42,0.955,0.5
-0.435,0.91,0.5
-0.45,0.87,0.5
-0.465,0.83,0.5
-0.48,0.78,0.5
-0.5,0.735,0.5
-0.515,0.69,0.5
-0.53,0.645,0.5
-0.545,0.6,0.5
-0.56,0.555,0.5
-0.575,0.51,0.5
-0.595,0.465,0.5
-0.61,0.42,0.5
-0.625,0.37,0.5
-0.645,0.32,0.5
-0.66,0.27,0.5
-0.68,0.22,0.5
-0.695,0.17,0.5
-0.715,0.115,0.5
-0.73,0.07,0.5
-0.75,0.02,0.5
-0.765,-0.03,0.5
-0.78,-0.075,0.5
-0.795,-0.115,0.5
-0.81,-0.155,0.5
-0.82,-0.185,0.5
-0.83,-0.215,0.5
-0.835,-0.24,0.5
-0.845,-0.255,0.5
-0.845,-0.265,0.5
-0.85,-0.275,0.5
-0.85,-0.28,0.5
