x,y,z
0.525,2.465,0.5
0.53,2.445,0.5
0.535,2.42,0.5
0.54,2.4,0.5
0.545,2.375,0.5
0.545,2.35,0.5
0.545,2.33,0.5
0.545,2.305,0.5
0.545,2.28,0.5
0.54,2.255,0.5
0.54,2.23,0.5
0.535,2.205,0.5
0.525,2.175,0.5
0.52,2.145,0.5
0.51,2.115,0.5
0.505,2.085,0.5
0.495,2.055,0.5
0.48,2.025,0.5
0.47,1.99,0.5
0.46,1.96,0.5
0.45,1.925,0.5
0.435,1.89,0.5
0.42,1.845,0.5
0.405,1.805,0.5
0.39,1.765,0.5
0.375,1.72,0.5
0.36,1.675,0.5
0.345,1.63,0.5
0.325,1.585,0.5
0.31,1.535,0.5
0.295,1.485,0.5
0.275,1.435,0.5
0.26,1.395,0.5
0.245,1.35,0.5
0.225,1.3,0.5
0.21,1.25,0.5
0.195,1.205,0.5
0.18,1.16,0.5
0.165,1.115,0.5
0.15,1.075,0.5
0.135,1.03,0.5
0.12,0.99,0.5
0.105,0.945,0.5
0.09,0.905,0.5
0.075,0.86,0.5
0.06,0.815,0.5
0.045,0.775,0.5
0.03,0.73,0.5
0.015,0.685,0.5
-0.0,0.64,0.5
-0.02,0.59,0.5
-0.035,0.545,0.5
-0.05,0.495,0.5
-0.07,0.45,0.5
-0.085,0.4,0.5
-0.105,0.35,0.5
-0.12,0.305,0.5
-0.135,0.255,0.5
-0.15,0.21,0.5
-0.165,0.175,0.5
-0.175,0.135,0.5
-0.185,0.11,0.5
-0.195,0.085,0.5
-0.205,0.065,0.5
-0.21,0.05,0.5
-0.21,0.035,0.5
-0.215,0.03,0.5
