x,y,z
-0.68,0.63,0.25
-0.68,0.635,0.25
-0.68,0.64,0.25
-0.68,0.645,0.25
-0.68,0.66,0.25
-0.68,0.67,0.25
-0.685,0.685,0.255
-0.685,0.705,0.255
-0.69,0.725,0.255
-0.69,0.745,0.255
-0.695,0.77,0.255
-0.695,0.795,0.26
-0.695,0.82,0.26
-0.7,0.85,0.265
-0.7,0.88,0.27
-0.695,0.915,0.275
-0.695,0.94,0.285
-0.69,0.975,0.295
-0.685,1.01,0.305
-0.675,1.045,0.32
-0.67,1.075,0.33
-0.66,1.115,0.345
-0.65,1.155,0.355
-0.64,1.205,0.36
-0.63,1.255,0.365
-0.62,1.3,0.365
-0.61,1.35,0.36
-0.605,1.4,0.355
-0.6,1.45,0.35
-0.6,1.5,0.34
-0.605,1.545,0.33
-0.61,1.6,0.32
-0.625,1.645,0.305
-0.64,1.69,0.295
-0.655,1.725,0.29
-0.68,1.76,0.28
-0.705,1.795,0.275
-0.73,1.82,0.27
-0.76,1.845,0.27
-0.79,1.87,0.27
-0.815,1.89,0.27
-0.845,1.91,0.27
-0.87,1.925,0.275
-0.89,1.945,0.28
-0.91,1.965,0.285
-0.925,1.985,0.29
-0.94,2.005,0.295
-0.945,2.03,0.295
-0.95,2.05,0.3
-0.955,2.075,0.305
-0.955,2.1,0.31
-0.95,2.13,0.315
-0.95,2.155,0.32
-0.94,2.19,0.325
-0.935,2.225,0.33
-0.925,2.26,0.33
-0.92,2.3,0.335
-0.91,2.335,0.34
-0.9,2.38,0.34
-0.89,2.42,0.345
-0.885,2.46,0.345
-0.875,2.51,0.35
-0.87,2.555,0.35
-0.86,2.605,0.355
-0.855,2.655,0.355
-0.85,2.705,0.36
-0.845,2.75,0.36
-0.84,2.8,0.365
-0.84,2.85,0.365
-0.835,2.905,0.37
-0.83,2.95,0.37
-0.83,2.995,0.375
-0.825,3.05,0.38
-0.825,3.1,0.38
-0.825,3.15,0.385
-0.82,3.205,0.385
-0.82,3.255,0.39
-0.82,3.305,0.39
-0.815,3.36,0.395
-0.815,3.405,0.395
-0.815,3.455,0.4
-0.81,3.51,0.405
-0.81,3.56,0.405
-0.805,3.61,0.41
-0.805,3.67,0.41
-0.805,3.72,0.415
-0.8,3.775,0.415
-0.8,3.825,0.42
-0.795,3.875,0.425
-0.795,3.93,0.425
-0.79,3.985,0.43
-0.79,4.035,0.43
-0.785,4.085,0.435
-0.785,4.135,0.435
-0.785,4.185,0.44
-0.78,4.235,0.445
-0.78,4.285,0.445
-0.775,4.335,0.45
-0.775,4.385,0.45
-0.77,4.44,0.455
-0.77,4.49,0.455
-0.77,4.535,0.46
-0.765,4.585,0.46
-0.765,4.635,0.465
-0.76,4.69,0.465
-0.76,4.735,0.47
-0.755,4.79,0.475
-0.755,4.845,0.475
-0.755,4.9,0.48
-0.75,4.945,0.48
-0.74,4.99,0.485
-0.73,5.02,0.485
-0.715,5.045,0.49
-0.69,5.065,0.49
-0.665,5.07,0.49
-0.63,5.07,0.495
-0.595,5.06,0.495
-0.555,5.045,0.495
-0.51,5.02,0.5
-0.465,4.995,0.5
-0.42,4.97,0.5
-0.375,4.935,0.5
-0.335,4.9,0.5
-0.29,4.865,0.5
-0.25,4.83,0.5
-0.215,4.795,0.5
-0.18,4.765,0.5
-0.15,4.73,0.5
-0.12,4.695,0.5
-0.09,4.665,0.5
-0.06,4.63,0.5
-0.035,4.605,0.5
-0.005,4.575,0.5
0.025,4.545,0.5
0.055,4.52,0.5
0.085,4.495,0.5
0.115,4.47,0.5
0.145,4.45,0.5
0.18,4.43,0.5
0.215,4.405,0.5
0.25,4.39,0.5
0.285,4.37,0.5
0.32,4.35,0.5
0.355,4.335,0.5
0.395,4.315,0.5
0.43,4.305,0.5
0.465,4.29,0.5
0.505,4.27,0.5
0.545,4.255,0.5
0.58,4.24,0.5
0.625,4.225,0.5
0.67,4.205,0.5
0.715,4.19,0.5
0.76,4.17,0.5
0.81,4.155,0.5
0.85,4.135,0.5
0.89,4.12,0.5
0.935,4.105,0.5
0.975,4.085,0.5
1.015,4.07,0.5
1.05,4.055,0.5
1.075,4.045,0.5
1.105,4.03,0.5
1.125,4.02,0.5
1.145,4.005,0.5
1.165,3.99,0.5
1.175,3.975,0.5
1.185,3.955,0.5
1.195,3.93,0.5
1.195,3.905,0.5
1.195,3.875,0.5
1.195,3.845,0.5
1.185,3.81,0.5
1.175,3.775,0.5
1.165,3.735,0.5
1.145,3.69,0.5
1.13,3.655,0.5
1.11,3.615,0.5
1.085,3.57,0.5
1.06,3.535,0.5
1.03,3.495,0.5
1.005,3.46,0.5
0.975,3.43,0.5
0.94,3.395,0.5
0.905,3.36,0.5
0.87,3.33,0.5
0.84,3.3,0.5
0.805,3.275,0.5
0.77,3.245,0.5
0.735,3.225,0.5
0.705,3.2,0.5
0.675,3.18,0.5
0.645,3.16,0.5
0.615,3.14,0.5
0.59,3.12,0.5
0.565,3.1,0.5
0.54,3.08,0.5
0.515,3.06,0.5
0.495,3.04,0.5
0.475,3.025,0.5
0.46,3.005,0.5
0.445,2.985,0.5
0.435,2.965,0.5
0.42,2.94,0.5
0.415,2.92,0.5
0.405,2.895,0.5
0.4,2.87,0.5
0.4,2.845,0.5
0.4,2.82,0.5
0.4,2.795,0.5
0.405,2.77,0.5
0.41,2.75,0.5
0.42,2.72,0.5
0.43,2.695,0.5
0.44,2.675,0.5
0.445,2.65,0.5
0.455,2.63,0.5
0.47,2.605,0.5
0.48,2.58,0.5
0.49,2.56,0.5
0.5,2.535,0.5
0.51,2.51,0.5
0.515,2.49,0.5
