x,y,z
-0.95,0.21,0.25
-0.95,0.215,0.25
-0.95,0.225,0.255
-0.95,0.24,0.255
-0.945,0.26,0.26
-0.945,0.275,0.265
-0.94,0.3,0.27
-0.94,0.325,0.27
-0.935,0.355,0.275
-0.93,0.385,0.28
-0.925,0.415,0.28
-0.915,0.445,0.28
-0.91,0.475,0.28
-0.905,0.51,0.285
-0.9,0.535,0.285
-0.895,0.565,0.285
-0.89,0.595,0.285
-0.885,0.62,0.285
-0.885,0.645,0.29
-0.88,0.67,0.29
-0.88,0.69,0.295
-0.88,0.71,0.295
-0.88,0.725,0.3
-0.885,0.745,0.305
-0.895,0.76,0.305
-0.9,0.77,0.31
-0.915,0.785,0.315
-0.93,0.795,0.315
-0.95,0.805,0.315
-0.97,0.815,0.315
-0.99,0.825,0.315
-1.015,0.84,0.315
-1.035,0.855,0.315
-1.055,0.875,0.315
-1.075,0.9,0.315
-1.095,0.92,0.315
-1.105,0.95,0.315
-1.115,0.98,0.32
-1.125,1.02,0.32
-1.13,1.055,0.32
-1.135,1.095,0.32
-1.135,1.135,0.325
-1.14,1.18,0.325
-1.14,1.225,0.325
-1.145,1.27,0.33
-1.15,1.315,0.33
-1.16,1.36,0.33
-1.165,1.4,0.335
-1.17,1.45,0.335
-1.175,1.495,0.335
-1.175,1.535,0.335
-1.17,1.58,0.34
-1.165,1.62,0.34
-1.155,1.66,0.34
-1.145,1.705,0.34
-1.125,1.745,0.34
-1.105,1.785,0.345
-1.08,1.825,0.345
-1.055,1.865,0.345
-1.03,1.91,0.345
-1.005,1.945,0.35
-0.98,1.99,0.35
-0.96,2.025,0.35
-0.94,2.065,0.355
-0.925,2.11,0.355
-0.905,2.155,0.355
-0.895,2.2,0.36
-0.88,2.245,0.36
-0.87,2.295,0.365
-0.865,2.34,0.365
-0.855,2.385,0.37
-0.85,2.435,0.37
-0.845,2.485,0.375
-0.845,2.53,0.375
-0.84,2.58,0.38
-0.84,2.63,0.38
-0.84,2.68,0.385
-0.84,2.73,0.385
-0.835,2.78,0.39
-0.835,2.835,0.395
-0.835,2.885,0.395
-0.835,2.935,0.4
-0.835,2.99,0.4
-0.83,3.04,0.405
-0.83,3.09,0.405
-0.83,3.14,0.41
-0.825,3.195,0.415
-0.825,3.25,0.415
-0.82,3.305,0.42
-0.82,3.355,0.42
-0.815,3.41,0.425
-0.815,3.465,0.43
-0.81,3.515,0.43
-0.81,3.57,0.435
-0.805,3.62,0.435
-0.805,3.675,0.44
-0.805,3.72,0.44
-0.8,3.765,0.445
-0.8,3.82,0.445
-0.795,3.87,0.45
