x,y,z
-1.18,0.63,0.25
-1.185,0.635,0.25
-1.185,0.64,0.25
-1.19,0.645,0.25
-1.19,0.65,0.255
-1.195,0.655,0.255
-1.2,0.66,0.255
-1.205,0.665,0.26
-1.21,0.67,0.26
-1.21,0.675,0.26
-1.215,0.675,0.265
-1.22,0.675,0.265
-1.22,0.67,0.27
-1.225,0.67,0.27
-1.225,0.665,0.275
-1.22,0.655,0.275
-1.22,0.65,0.28
-1.22,0.64,0.28
-1.215,0.625,0.28
-1.21,0.615,0.285
-1.205,0.6,0.285
-1.2,0.59,0.29
-1.195,0.575,0.29
-1.19,0.56,0.29
-1.18,0.545,0.295
-1.175,0.53,0.295
-1.165,0.52,0.295
-1.16,0.505,0.3
-1.15,0.49,0.3
-1.145,0.48,0.3
-1.135,0.47,0.305
-1.125,0.46,0.305
-1.115,0.45,0.305
-1.105,0.445,0.305
-1.095,0.44,0.31
-1.09,0.435,0.31
-1.08,0.43,0.31
-1.065,0.43,0.31
-1.055,0.435,0.315
-1.045,0.435,0.315
-1.035,0.445,0.315
-1.025,0.45,0.315
-1.01,0.46,0.32
-1.0,0.475,0.32
-0.99,0.485,0.32
-0.98,0.505,0.32
-0.97,0.52,0.325
-0.96,0.54,0.325
-0.96,0.57,0.325
-0.96,0.595,0.33
-0.96,0.625,0.33
-0.97,0.655,0.33
-0.98,0.69,0.33
-0.995,0.725,0.335
-1.015,0.765,0.335
-1.035,0.805,0.34
-1.055,0.85,0.34
-1.08,0.895,0.345
-1.1,0.935,0.345
-1.12,0.985,0.35
-1.14,1.035,0.355
-1.16,1.085,0.36
-1.18,1.135,0.365
-1.19,1.185,0.37
-1.2,1.24,0.37
-1.21,1.295,0.375
-1.215,1.34,0.38
-1.215,1.395,0.385
-1.21,1.45,0.385
-1.205,1.5,0.385
-1.195,1.555,0.39
-1.185,1.605,0.39
-1.175,1.655,0.39
-1.16,1.7,0.395
-1.14,1.755,0.395
-1.125,1.805,0.395
-1.105,1.855,0.395
-1.085,1.905,0.395
-1.065,1.955,0.4
-1.045,2.0,0.4
-1.025,2.05,0.4
-1.005,2.095,0.405
-0.985,2.15,0.405
-0.965,2.195,0.41
-0.95,2.245,0.41
-0.93,2.295,0.415
-0.915,2.345,0.42
-0.9,2.395,0.42
-0.89,2.445,0.425
-0.88,2.495,0.43
-0.87,2.545,0.43
-0.86,2.595,0.435
-0.855,2.645,0.435
-0.85,2.695,0.44
-0.845,2.745,0.445
-0.84,2.79,0.445
-0.84,2.84,0.45
-0.835,2.885,0.45
-0.835,2.935,0.455
-0.83,2.985,0.455
-0.83,3.035,0.46
-0.83,3.08,0.46
-0.825,3.125,0.465
-0.825,3.18,0.465
-0.825,3.23,0.47
-0.82,3.28,0.47
-0.82,3.33,0.475
-0.815,3.38,0.48
-0.815,3.43,0.48
-0.815,3.485,0.485
-0.81,3.53,0.485
-0.805,3.575,0.49
-0.805,3.625,0.49
-0.8,3.665,0.495
-0.795,3.71,0.495
-0.79,3.75,0.495
-0.78,3.79,0.5
-0.775,3.82,0.5
-0.765,3.855,0.5
-0.75,3.885,0.5
-0.74,3.915,0.505
-0.72,3.945,0.505
-0.7,3.97,0.505
-0.68,3.99,0.505
-0.655,4.015,0.505
-0.625,4.035,0.505
-0.6,4.05,0.505
-0.57,4.065,0.505
-0.535,4.08,0.505
-0.5,4.09,0.505
-0.465,4.095,0.505
-0.43,4.105,0.505
-0.395,4.105,0.5
-0.36,4.11,0.5
-0.325,4.11,0.5
-0.29,4.105,0.5
-0.255,4.1,0.5
-0.225,4.095,0.5
-0.19,4.085,0.5
-0.155,4.075,0.5
-0.125,4.065,0.5
-0.085,4.055,0.5
-0.05,4.04,0.5
-0.015,4.025,0.5
0.02,4.01,0.5
0.055,3.995,0.5
0.09,3.98,0.5
0.13,3.965,0.5
0.17,3.945,0.5
0.215,3.93,0.5
0.26,3.91,0.5
0.3,3.89,0.5
0.35,3.87,0.5
0.395,3.855,0.5
0.445,3.835,0.5
0.485,3.815,0.5
0.525,3.8,0.5
0.57,3.78,0.5
0.61,3.765,0.5
0.645,3.75,0.5
0.68,3.74,0.5
0.705,3.725,0.5
0.725,3.715,0.5
0.74,3.7,0.5
0.75,3.69,0.5
0.755,3.675,0.5
0.755,3.66,0.5
0.75,3.65,0.5
0.74,3.635,0.5
0.73,3.625,0.5
0.72,3.615,0.5
0.705,3.605,0.5
0.69,3.6,0.5
0.675,3.595,0.5
0.665,3.59,0.5
0.65,3.59,0.5
